index,artist,artist_id,name,id,url,album_name,album_id,release_date,duration_ms,explicit,popularity,added_at
0,Shilpa Rao,19LIHDDSHBD5NyYHI3gpzB,"Chuttamalle (From ""Devara Part 1"")",1bxzr3JK05fMTcweGAZUHp,https://open.spotify.com/track/1bxzr3JK05fMTcweGAZUHp,"Chuttamalle (From ""Devara Part 1"")",77bk7awXNSGEQkZTcTp2Gj,2024-08-05,222063,False,74,2024-08-12T16:55:30Z
1,S. P. Balasubrahmanyam,2ae6PxICSOZHvjqiCcgon8,Allantha Doorala,5jDcZCA2NJEvk7Kwa6bcE1,https://open.spotify.com/track/5jDcZCA2NJEvk7Kwa6bcE1,Aadavari Matalaku Ardhalu Veruley,2MsMl4xvzwGfgaIy1BLm0u,2007-03-27,273293,False,55,2024-06-28T17:03:55Z
2,S. P. Balasubrahmanyam,2ae6PxICSOZHvjqiCcgon8,Suvvi Suvvi,2W21xyDCFlrgOzK2Yqv2X5,https://open.spotify.com/track/2W21xyDCFlrgOzK2Yqv2X5,Swathi Mutyam,4iK9aG5KAiuGS1Wi8C9c3c,1985-01-01,341791,False,43,2024-06-28T12:09:58Z
3,Ghantasala,2spmKkD1aaIwksnFrAghRL,Prema Yatralaku,3NVSHFKnsSL0wxrgU9QqKo,https://open.spotify.com/track/3NVSHFKnsSL0wxrgU9QqKo,Gundaamma Katha,2nQf7vx5LS4Zn7citrSMbG,1962-12-31,202920,False,38,2024-06-28T12:09:24Z
4,Ghantasala,2spmKkD1aaIwksnFrAghRL,Nannu Dochu Kunduvatey,3AbxgsYRFyr6ycX60IeduW,https://open.spotify.com/track/3AbxgsYRFyr6ycX60IeduW,Gulebakavali Katha,07Z1vRSPAGAcnKv9X6HwPK,1962-12-31,206573,False,33,2024-06-28T12:08:16Z
5,Karthik,0LSPREIgGMZXCuKVel7LVD,Hoyna,2RB0HGpFZ3ScPEqC7uCqr3,https://open.spotify.com/track/2RB0HGpFZ3ScPEqC7uCqr3,Aata,0PkppaGtfsxVlibnWvhNdx,2007-04-26,306977,False,58,2024-06-28T12:03:04Z
6,Rajesh,6aQ5LDX0WlnyDLI8TGU0wK,Emainadho Emo,4A6j0Du0IrhL5F8smYVMTq,https://open.spotify.com/track/4A6j0Du0IrhL5F8smYVMTq,Santhosham,5pZ7o500CAKbB4ciJVBNyl,2002-05-09,116550,False,43,2024-06-23T13:46:11Z
7,Mallikarjun,40Ce6P4AGMq3NXCDXVSZaa,Chitti Nadumune,4NugyVw9Of2Z4uyBXf33tX,https://open.spotify.com/track/4NugyVw9Of2Z4uyBXf33tX,Gudumba Shankar,330aGp8Rl5dhqKoPRsY203,2004-08-09,354716,False,55,2024-06-23T13:44:22Z
8,Karthik,0LSPREIgGMZXCuKVel7LVD,Naa Pere Kanchanamaala,1e6r9GfyjrTUqmKohbswQn,https://open.spotify.com/track/1e6r9GfyjrTUqmKohbswQn,Shankerdada M B B S,2Dsq5t51lyNxZHm6bDdlbi,2004-10-15,319759,False,54,2024-06-23T13:44:08Z
9,Chakri,7puWXcCM8Li3HnKrxc1bEH,Ninne Ninne,6plyDAqUmEjWVPjM12udlU,https://open.spotify.com/track/6plyDAqUmEjWVPjM12udlU,Desamudhuru,5vGNfcsprKz9JRnLK13K3e,2006-12-23,277539,False,54,2024-06-23T13:43:33Z
